"vp";"nodd";"rfpbase";"audiofreq";"N";"p";"RT"
"S01";"1";"0,5";"2000";"16";"0,250000000000000";"1,239276856184006"
"S01";"1";"0,5";"2200";"16";"0,375000000000000";"1,481711477041245"
"S01";"1";"0,5";"2400";"16";"0,375000000000000";"1,619934201240540"
"S01";"1";"1,5";"2000";"16";"0,562500000000000";"1,529613494873047"
"S01";"1";"1,5";"2200";"16";"0,687500000000000";"1,435306116938591"
"S01";"1";"1,5";"2400";"16";"0,750000000000000";"1,301257506012917"
"S01";"3";"0,5";"2000";"16";"0,375000000000000";"1,472201645374298"
"S01";"3";"0,5";"2200";"16";"0,250000000000000";"1,326214611530304"
"S01";"3";"0,5";"2400";"16";"0,312500000000000";"1,451451241970062"
"S01";"3";"1,5";"2000";"16";"0,687500000000000";"1,089528694748878"
"S01";"3";"1,5";"2200";"16";"0,750000000000000";"1,696614310145378"
"S01";"3";"1,5";"2400";"16";"0,687500000000000";"1,456765606999397"
"S01";"5";"0,5";"2000";"16";"0,437500000000000";"1,316686347126961"
"S01";"5";"0,5";"2200";"16";"0,500000000000000";"1,712299868464470"
"S01";"5";"0,5";"2400";"16";"0,625000000000000";"1,804981425404549"
"S01";"5";"1,5";"2000";"16";"0,625000000000000";"1,679330244660378"
"S01";"5";"1,5";"2200";"16";"0,750000000000000";"1,384912610054016"
"S01";"5";"1,5";"2400";"16";"0,812500000000000";"1,506269156932831"
"S01";"7";"0,5";"2000";"16";"0,625000000000000";"1,823693722486496"
"S01";"7";"0,5";"2200";"16";"0,187500000000000";"1,322035580873489"
"S01";"7";"0,5";"2400";"16";"0,375000000000000";"1,294261410832405"
"S01";"7";"1,5";"2000";"16";"0,750000000000000";"1,848802402615547"
"S01";"7";"1,5";"2200";"16";"0,812500000000000";"1,212445035576820"
"S01";"7";"1,5";"2400";"16";"0,937500000000000";"1,515707060694695"
"S01";"9";"0,5";"2000";"16";"0,437500000000000";"1,813908755779266"
"S01";"9";"0,5";"2200";"16";"0,187500000000000";"1,692656278610229"
"S01";"9";"0,5";"2400";"16";"0,500000000000000";"1,350327268242836"
"S01";"9";"1,5";"2000";"16";"0,750000000000000";"1,723445788025856"
"S01";"9";"1,5";"2200";"16";"0,937500000000000";"1,838836818933487"
"S01";"9";"1,5";"2400";"16";"0,750000000000000";"1,516003325581551"
"S01";"11";"0,5";"2000";"16";"0,500000000000000";"1,372184351086617"
"S01";"11";"0,5";"2200";"16";"0,625000000000000";"1,511347308754921"
"S01";"11";"0,5";"2400";"16";"0,312500000000000";"1,174934342503548"
"S01";"11";"1,5";"2000";"16";"0,812500000000000";"1,323998302221298"
"S01";"11";"1,5";"2200";"16";"0,625000000000000";"1,314367666840553"
"S01";"11";"1,5";"2400";"16";"0,937500000000000";"1,304436624050140"
"S03";"1";"0,5";"2000";"16";"0,062500000000000";"1,656509533524513"
"S03";"1";"0,5";"2200";"16";"0,187500000000000";"1,658011093735695"
"S03";"1";"0,5";"2400";"16";"0,187500000000000";"1,119582533836365"
"S03";"1";"1,5";"2000";"16";"0,812500000000000";"1,210015863180161"
"S03";"1";"1,5";"2200";"16";"0,875000000000000";"1,522165641188622"
"S03";"1";"1,5";"2400";"16";"0,875000000000000";"1,255074143409729"
"S03";"3";"0,5";"2000";"16";"0,187500000000000";"1,428074821829796"
"S03";"3";"0,5";"2200";"16";"0,125000000000000";"1,814329653978348"
"S03";"3";"0,5";"2400";"16";"0,062500000000000";"1,677288219332695"
"S03";"3";"1,5";"2000";"16";"0,812500000000000";"1,162763476371765"
"S03";"3";"1,5";"2200";"16";"0,812500000000000";"1,388769686222076"
"S03";"3";"1,5";"2400";"16";"0,937500000000000";"1,287919983267784"
"S03";"5";"0,5";"2000";"16";"0,250000000000000";"1,367477700114250"
"S03";"5";"0,5";"2200";"16";"0,062500000000000";"1,356482014060020"
"S03";"5";"0,5";"2400";"16";"0,250000000000000";"1,488231688737869"
"S03";"5";"1,5";"2000";"16";"0,875000000000000";"1,488766670227051"
"S03";"5";"1,5";"2200";"16";"0,937500000000000";"1,362462803721428"
"S03";"5";"1,5";"2400";"16";"0,875000000000000";"1,317481204867363"
"S03";"7";"0,5";"2000";"16";"0,062500000000000";"1,383203580975533"
"S03";"7";"0,5";"2200";"16";"0,000000000000000";"1,585578814148903"
"S03";"7";"0,5";"2400";"16";"0,187500000000000";"0,991934627294540"
"S03";"7";"1,5";"2000";"16";"0,937500000000000";"1,356188252568245"
"S03";"7";"1,5";"2200";"16";"1,000000000000000";"1,045422285795212"
"S03";"7";"1,5";"2400";"16";"0,937500000000000";"1,258349835872650"
"S03";"9";"0,5";"2000";"16";"0,062500000000000";"1,654174238443375"
"S03";"9";"0,5";"2200";"16";"0,000000000000000";"1,217612102627754"
"S03";"9";"0,5";"2400";"16";"0,250000000000000";"1,222785860300064"
"S03";"9";"1,5";"2000";"16";"0,937500000000000";"1,345719590783119"
"S03";"9";"1,5";"2200";"16";"0,875000000000000";"1,607605755329132"
"S03";"9";"1,5";"2400";"16";"0,875000000000000";"1,505640983581543"
"S03";"11";"0,5";"2000";"16";"0,000000000000000";"1,370736271142960"
"S03";"11";"0,5";"2200";"16";"0,187500000000000";"1,106784403324127"
"S03";"11";"0,5";"2400";"16";"0,187500000000000";"1,337879255414009"
"S03";"11";"1,5";"2000";"16";"1,000000000000000";"1,420000642538071"
"S03";"11";"1,5";"2200";"16";"0,812500000000000";"1,252420470118523"
"S03";"11";"1,5";"2400";"16";"0,875000000000000";"1,158266216516495"
"S04";"1";"0,5";"2000";"16";"0,187500000000000";"1,188518434762955"
"S04";"1";"0,5";"2200";"16";"0,187500000000000";"0,986328884959221"
"S04";"1";"0,5";"2400";"16";"0,250000000000000";"0,998834177851677"
"S04";"1";"1,5";"2000";"16";"0,875000000000000";"1,248918443918228"
"S04";"1";"1,5";"2200";"16";"0,875000000000000";"1,903035148978233"
"S04";"1";"1,5";"2400";"16";"1,000000000000000";"0,975022673606873"
"S04";"3";"0,5";"2000";"16";"0,250000000000000";"1,283540129661560"
"S04";"3";"0,5";"2200";"16";"0,250000000000000";"1,130004435777664"
"S04";"3";"0,5";"2400";"16";"0,250000000000000";"1,036496102809906"
"S04";"3";"1,5";"2000";"16";"1,000000000000000";"0,979553624987602"
"S04";"3";"1,5";"2200";"16";"0,937500000000000";"1,081869378685951"
"S04";"3";"1,5";"2400";"16";"1,000000000000000";"1,148672565817833"
"S04";"5";"0,5";"2000";"16";"0,250000000000000";"1,036122366786003"
"S04";"5";"0,5";"2200";"16";"0,312500000000000";"1,143748208880424"
